province,country,lat,long,date,confirmed,deaths,recovered
,Suriname,3.9193,-56.0278,4/25/2020,10,1,7
,Sweden,63,16,4/25/2020,18177,2192,1005
,Switzerland,46.8182,8.2275,4/25/2020,28894,1599,21300
,Taiwan*,23.7,121,4/25/2020,429,6,275
,Tanzania,-6.369,34.8888,4/25/2020,299,10,48
,Thailand,15,101,4/25/2020,2907,51,2547
,Togo,8.6195,0.8248,4/25/2020,96,6,62
,Trinidad and Tobago,10.6918,-61.2225,4/25/2020,115,8,53
,Tunisia,34,9,4/25/2020,939,38,207
,Turkey,38.9637,35.2433,4/25/2020,107773,2706,25582
,Uganda,1,32,4/25/2020,75,0,46
,Ukraine,48.3794,31.1656,4/25/2020,8125,201,782
,United Arab Emirates,24,54,4/25/2020,9813,71,1887
Bermuda,United Kingdom,32.3078,-64.7505,4/25/2020,109,5,39
Cayman Islands,United Kingdom,19.3133,-81.2546,4/25/2020,70,1,8
Channel Islands,United Kingdom,49.3723,-2.3644,4/25/2020,525,35,332
Gibraltar,United Kingdom,36.1408,-5.3536,4/25/2020,136,0,131
Isle of Man,United Kingdom,54.2361,-4.5481,4/25/2020,308,18,243
Montserrat,United Kingdom,16.7425,-62.1874,4/25/2020,11,1,2
,United Kingdom,55.3781,-3.436,4/25/2020,148377,23635,0
,Uruguay,-32.5228,-55.7658,4/25/2020,596,14,370
,US,37.0902,-95.7129,4/25/2020,938154,53755,100372
,Uzbekistan,41.3775,64.5853,4/25/2020,1862,8,707
,Venezuela,6.4238,-66.5897,4/25/2020,323,10,132
,Vietnam,16,108,4/25/2020,270,0,225
,Zambia,-15.4167,28.2833,4/25/2020,84,3,37
,Zimbabwe,-20,30,4/25/2020,31,4,2
Diamond Princess,Canada,0,0,4/25/2020,0,1,0
,Dominica,15.415,-61.371,4/25/2020,16,0,13
,Grenada,12.1165,-61.679,4/25/2020,18,0,0
,Mozambique,-18.665695,35.529562,4/25/2020,70,0,0
,Syria,34.802075,38.996815,4/25/2020,42,3,0
,Timor-Leste,-8.874217,125.727539,4/25/2020,24,0,0
,Belize,13.1939,-59.5432,4/25/2020,18,2,5
,Laos,19.85627,102.495496,4/25/2020,19,0,0
,Libya,26.3351,17.228331,4/25/2020,61,2,18
,West Bank and Gaza,31.9522,35.2332,4/25/2020,342,2,92
,Guinea-Bissau,11.8037,-15.1804,4/25/2020,52,0,3
,Mali,17.570692,-3.996166,4/25/2020,370,21,91
,Saint Kitts and Nevis,17.357822,-62.782998,4/25/2020,15,0,2
Northwest Territories,Canada,64.8255,-124.8457,4/25/2020,5,0,0
Yukon,Canada,64.2823,-135,4/25/2020,11,0,0
,Kosovo,42.602636,20.902977,4/25/2020,731,20,165
,Burma,21.9162,95.956,4/25/2020,146,5,10
Anguilla,United Kingdom,18.2206,-63.0686,4/25/2020,3,0,1
British Virgin Islands,United Kingdom,18.4207,-64.64,4/25/2020,6,1,3
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,4/25/2020,11,1,4
,MS Zaandam,0,0,4/25/2020,9,2,0
,Botswana,-22.3285,24.6849,4/25/2020,22,1,0
,Burundi,-3.3731,29.9189,4/25/2020,11,1,4
,Sierra Leone,8.460555,-11.779889,4/25/2020,82,2,10
,Malawi,-13.254308,34.301525,4/25/2020,33,3,4
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,4/25/2020,13,0,11
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/25/2020,1,0,0
,South Sudan,6.877,31.307,4/25/2020,5,0,0
,Western Sahara,24.2155,-12.8858,4/25/2020,6,0,5
,Sao Tome and Principe,0.18636,6.613081,4/25/2020,4,0,0
,Yemen,15.552727,48.516388,4/25/2020,1,0,0
,Comoros,-11.6455,43.3333,4/25/2020,0,0,0
,Tajikistan,38.861034,71.276093,4/25/2020,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
